Date,Item,Material,Supplier,Cost Price,Sale Price,Quantity_Sold,Stock_Level,Fabric_Category
2023-07-22,Saree,Silk,Sri Lakshmi Silks,650.0,700.0,74,188,Festive
2023-05-14,Handkerchief,Cotton,Sai Ram Fabrics,20.0,25.0,98,72,Festive
2024-06-09,Pillow cover,Cotton,RSN Textiles,30.0,40.0,80,111,Casual
2024-05-22,Shirt,Linen,Sri Velavan Textiles,250.0,280.0,18,139,Formal
2023-03-07,Bedsheet,Cotton,RR Textiles,180.0,210.0,97,172,Casual
2024-04-24,Saree,Chiffon,Ravi Textiles,400.0,450.0,138,22,Festive
2024-04-03,Skirt,Linen,Royal Fabrics,220.0,250.0,145,41,Casual
2023-12-08,Pajamas,Cotton,Vimal Textiles,150.0,180.0,72,172,Casual
2024-12-07,Kurta,Rayon,Vasanth Textiles,340.0,380.0,148,50,Formal
2024-09-17,Blouse,Cotton,Sathya Textiles,70.0,90.0,90,195,Formal
2023-06-08,Saree,Silk,Emco Textiles,700.0,750.0,145,28,Festive
2023-06-10,Dupatta,Cotton,Om Textiles,200.0,230.0,172,44,Casual
2023-09-11,Lungi,Cotton,Shree Ram Textiles,110.0,140.0,172,49,Casual
2024-06-10,Blouse,Silk,Shree Fabrics,130.0,150.0,42,138,Casual
2024-07-02,Skirt,Chiffon,Ravi Textiles,300.0,340.0,132,10,Festive
2023-06-04,T-shirt,Cotton,Sri Velavan Textiles,200.0,230.0,14,165,Festive
2024-04-30,Kurta,Linen,Swastik Textiles,320.0,360.0,50,94,Formal
2024-03-07,Bedsheet,Cotton,RR Textiles,180.0,210.0,37,150,Formal
2023-01-27,Pillow cover,Cotton,RSN Textiles,30.0,40.0,144,21,Formal
2023-01-12,Blouse,Cotton,Shree Fabrics,70.0,90.0,81,123,Casual
2023-03-08,Dupatta,Silk,Balaji Textiles,280.0,320.0,21,126,Casual
2024-06-25,Lungi,Cotton,Shree Ram Textiles,110.0,130.0,171,25,Formal
2023-04-06,Shirt,Linen,Sri Velavan Textiles,250.0,280.0,42,130,Casual
2023-08-03,Saree,Chiffon,Ravi Textiles,400.0,450.0,57,156,Formal
2023-07-13,Skirt,Linen,Royal Fabrics,220.0,250.0,160,182,Festive
2024-10-08,Pajamas,Cotton,Vimal Textiles,150.0,180.0,71,165,Formal
2023-10-17,Kurta,Rayon,Vasanth Textiles,340.0,380.0,46,128,Festive
2024-06-27,Handkerchief,Cotton,Sai Ram Fabrics,20.0,25.0,108,125,Casual
2023-02-08,Pajamas,Rayon,Vimal Textiles,180.0,210.0,181,40,Formal
2023-07-25,Saree,Silk,Sri Lakshmi Silks,650.0,700.0,113,33,Casual
2024-07-08,Blouse,Cotton,Sathya Textiles,70.0,90.0,44,127,Festive
2024-04-28,Bedsheet,Linen,Sadhna Textiles,250.0,280.0,110,54,Festive
2023-12-03,Saree,Silk,Emco Textiles,700.0,750.0,184,43,Festive
2024-05-10,Handkerchief,Cotton,Sai Ram Fabrics,20.0,25.0,140,12,Casual
2023-09-06,Dupatta,Cotton,Om Textiles,200.0,230.0,10,109,Casual
2023-03-15, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,14,73,Casual
2024-01-08, Lungi, Cotton, Shree Ram Textiles,100.0,130.0,151,147,Casual
2024-12-02, Kurta, Linen, Swastik Textiles,320.0,360.0,112,101,Festive
2023-05-18, Saree, Chiffon, Ravi Textiles,400.0,450.0,36,35,Festive
2024-04-01, Blouse, Silk, Shree Fabrics,130.0,150.0,146,103,Formal
2024-03-19, Dupatta, Cotton, Balaji Textiles,280.0,320.0,24,37,Formal
2023-12-19, Pillow cover, Cotton, RSN Textiles,30.0,40.0,99,131,Casual
2024-02-15, Bedsheet, Cotton, RR Textiles,200.0,230.0,51,82,Festive
2024-11-08, Skirt, Linen, Royal Fabrics,250.0,280.0,133,79,Festive
2024-06-21, Pajamas, Cotton, Vimal Textiles,150.0,180.0,188,142,Festive
2024-03-28, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,72,198,Formal
2024-02-23, Kurta, Rayon, Vasanth Textiles,340.0,380.0,105,97,Formal
2024-03-25, Handkerchief, Cotton, Sai Ram Fabrics,20.0,25.0,61,80,Festive
2024-08-07, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,105,134,Festive
2023-04-25, Dupatta, Silk, Emco Textiles,280.0,320.0,141,74,Festive
2023-02-20, Blouse, Cotton, Sathya Textiles,70.0,90.0,160,143,Formal
2024-01-04, Pajamas, Cotton, Vimal Textiles,150.0,180.0,152,123,Festive
2024-11-13, Skirt, Chiffon, Ravi Textiles,300.0,340.0,180,171,Festive
2024-05-29, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,38,87,Casual
2023-07-29, Bedsheet, Cotton, RR Textiles,180.0,210.0,45,198,Casual
2024-09-18, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,22,163,Formal
2024-11-09, Lungi, Cotton, Shree Ram Textiles,100.0,130.0,169,97,Festive
2024-03-10, Kurta, Linen, Swastik Textiles,320.0,360.0,80,33,Festive
2023-08-15, Saree, Chiffon, Ravi Textiles,400.0,450.0,196,85,Casual
2024-10-24, Blouse, Silk, Shree Fabrics,130.0,150.0,95,50,Formal
2023-09-25, Dupatta, Cotton, Balaji Textiles,280.0,320.0,37,83,Casual
2023-04-26, Pillow cover, Cotton, RSN Textiles,30.0,40.0,75,137,Casual
2024-08-22, Bedsheet, Cotton, RR Textiles,200.0,230.0,179,103,Casual
2023-12-26, Skirt, Linen, Royal Fabrics,250.0,280.0,54,83,Casual
2023-11-25, Pajamas, Cotton, Vimal Textiles,150.0,180.0,71,97,Festive
2023-02-09, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,194,54,Festive
2023-07-01, Kurta, Rayon, Vasanth Textiles,340.0,380.0,143,98,Casual
2024-05-04, Handkerchief, Cotton, Sai Ram Fabrics,20.0,25.0,37,163,Formal
2023-07-28, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,37,164,Formal
2023-09-30, Dupatta, Silk, Emco Textiles,280.0,320.0,117,100,Formal
2023-04-29, Blouse, Cotton, Sathya Textiles,70.0,90.0,53,127,Formal
2024-01-17, Pajamas, Cotton, Vimal Textiles,150.0,180.0,93,49,Casual
2024-06-19, Skirt, Chiffon, Ravi Textiles,300.0,340.0,39,164,Festive
2023-09-15, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,199,80,Formal
2024-04-27, Bedsheet, Cotton, RR Textiles,180.0,210.0,84,60,Casual
2024-05-23, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,137,141,Formal
2023-04-02, Lungi, Cotton, Shree Ram Textiles,100.0,130.0,101,107,Formal
2023-06-10, Kurta, Linen, Swastik Textiles,140.0,170.0,199,14,Casual
2023-05-29, Saree, Chiffon, Ravi Textiles,400.0,450.0,138,143,Festive
2023-04-27, Blouse, Silk, Shree Fabrics,130.0,150.0,130,88,Festive
2024-04-02, Dupatta, Cotton, Balaji Textiles,280.0,320.0,36,51,Casual
2024-07-18, Pillow cover, Cotton, RSN Textiles,30.0,40.0,199,144,Festive
2023-02-14, Bedsheet, Cotton, RR Textiles,200.0,230.0,130,182,Casual
2023-08-22, Skirt, Linen, Royal Fabrics,250.0,280.0,125,96,Casual
2024-01-10, Pajamas, Cotton, Vimal Textiles,150.0,180.0,12,97,Casual
2024-06-30, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,112,50,Festive
2023-07-16, Kurta, Rayon, Vasanth Textiles,340.0,380.0,164,180,Casual
2023-01-25, Handkerchief, Cotton, Sai Ram Fabrics,20.0,25.0,146,133,Formal
2024-01-30, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,71,82,Festive
2024-12-14, Dupatta, Silk, Emco Textiles,280.0,320.0,174,113,Festive
2023-02-05, Blouse, Cotton, Sathya Textiles,70.0,90.0,60,199,Festive
2024-04-18, Pajamas, Cotton, Vimal Textiles,150.0,180.0,181,55,Festive
2023-08-11, Skirt, Chiffon, Ravi Textiles,300.0,340.0,161,39,Formal
2024-06-13, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,68,194,Festive
2023-07-07, Bedsheet, Cotton, RR Textiles,180.0,210.0,127,33,Festive
2024-02-06, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,169,184,Casual
2023-09-14, Lungi, Cotton, Shree Ram Textiles,100.0,130.0,105,192,Festive
2024-10-15, Kurta, Linen, Swastik Textiles,320.0,360.0,189,191,Formal
2023-05-16, Saree, Chiffon, Ravi Textiles,400.0,450.0,122,170,Formal
2024-08-13, Blouse, Silk, Shree Fabrics,130.0,150.0,71,140,Formal
2024-03-19, Dupatta, Cotton, Balaji Textiles,280.0,320.0,195,67,Formal
2024-02-22, Pillow cover, Cotton, RSN Textiles,30.0,40.0,61,104,Festive
2023-10-19, Bedsheet, Cotton, RR Textiles,200.0,230.0,21,84,Festive
2024-07-27, Skirt, Linen, Royal Fabrics,250.0,280.0,48,171,Formal
2023-05-09, Pajamas, Cotton, Vimal Textiles,150.0,180.0,139,199,Formal
2023-12-07, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,140,51,Festive
2023-09-14, Kurta, Rayon, Vasanth Textiles,340.0,380.0,122,167,Formal
2024-12-24, Handkerchief, Cotton, Sai Ram Fabrics,20.0,25.0,110,190,Casual
2024-07-19, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,122,109,Formal
2024-11-17, Dupatta, Silk, Emco Textiles,280.0,320.0,193,65,Formal
2023-04-10, Blouse, Cotton, Sathya Textiles,70.0,90.0,90,106,Casual
2023-02-08, Pajamas, Cotton, Vimal Textiles,150.0,180.0,196,64,Casual
2023-09-20, Skirt, Chiffon, Ravi Textiles,300.0,340.0,122,188,Festive
2023-05-30, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,11,96,Festive
2024-09-24, Bedsheet, Cotton, RR Textiles,180.0,210.0,139,108,Casual
2024-11-20, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,63,129,Casual
2023-11-26, Lungi, Cotton, Shree Ram Textiles,100.0,130.0,96,197,Festive
2023-04-30, Kurta, Linen, Swastik Textiles,320.0,360.0,138,118,Formal
2024-08-06, Saree, Chiffon, Ravi Textiles,400.0,450.0,156,142,Casual
2023-08-07, Blouse, Silk, Shree Fabrics,130.0,150.0,135,162,Festive
2023-05-03, Dupatta, Cotton, Balaji Textiles,280.0,320.0,139,102,Formal
2023-09-01, Pillow cover, Cotton, RSN Textiles,30.0,40.0,62,107,Casual
2024-08-09, Bedsheet, Cotton, RR Textiles,200.0,230.0,181,176,Formal
2024-06-01, Skirt, Linen, Royal Fabrics,250.0,280.0,169,145,Festive
2023-01-21, Pajamas, Cotton, Vimal Textiles,150.0,180.0,169,121,Casual
2023-07-09, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,77,159,Formal
2023-08-13, Kurta, Rayon, Vasanth Textiles,340.0,380.0,192,155,Casual
2024-09-06, Handkerchief, Cotton, Sai Ram Fabrics,20.0,25.0,193,81,Formal
2024-04-10, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,132,175,Festive
2023-04-09, Dupatta, Silk, Emco Textiles,280.0,320.0,154,54,Festive
2023-12-29, Blouse, Cotton, Sathya Textiles,70.0,90.0,47,90,Casual
2023-03-24, Pajamas, Cotton, Vimal Textiles,150.0,180.0,33,192,Formal
2024-11-23, Skirt, Chiffon, Ravi Textiles,300.0,340.0,78,161,Casual
2024-10-25, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,125,125,Casual
2023-02-25, Bedsheet, Cotton, RR Textiles,180.0,210.0,107,167,Formal
2024-12-02, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,148,183,Formal
2023-01-22, Lungi, Cotton, Shree Ram Textiles,100.0,130.0,153,48,Formal
2024-08-02, Kurta, Linen, Swastik Textiles,320.0,360.0,106,26,Festive
2023-07-04, Saree, Chiffon, Ravi Textiles,400.0,450.0,133,82,Casual
2024-06-05, Blouse, Silk, Shree Fabrics,130.0,150.0,196,67,Casual
2024-07-31, Dupatta, Cotton, Balaji Textiles,280.0,320.0,79,93,Festive
2023-09-21, Pillow cover, Cotton, RSN Textiles,30.0,40.0,102,103,Formal
2023-08-13, Bedsheet, Cotton, RR Textiles,200.0,230.0,12,44,Festive
2024-09-26, Skirt, Linen, Royal Fabrics,250.0,280.0,157,47,Festive
2023-02-07, Pajamas, Cotton, Vimal Textiles,150.0,180.0,196,75,Festive
2023-05-03, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,173,102,Casual
2023-06-05, Lungi, Cotton, Shree Ram Textiles,100.0,130.0,156,135,Festive
2023-10-28, Kurta, Linen, Swastik Textiles,320.0,360.0,99,92,Casual
2023-03-08, Saree, Chiffon, Ravi Textiles,400.0,450.0,156,169,Casual
2024-10-06, Blouse, Silk, Shree Fabrics,130.0,150.0,157,186,Casual
2024-01-29, Dupatta, Cotton, Balaji Textiles,280.0,320.0,105,59,Formal
2024-10-13, Pillow cover, Cotton, RSN Textiles,30.0,40.0,61,190,Casual
2024-08-16, Bedsheet, Cotton, RR Textiles,200.0,230.0,170,114,Casual
2024-07-23, Skirt, Linen, Royal Fabrics,250.0,280.0,177,44,Formal
2024-10-22, Pajamas, Cotton, Vimal Textiles,150.0,180.0,137,61,Casual
2024-02-09, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,48,31,Festive
2024-03-24, Kurta, Rayon, Vasanth Textiles,340.0,380.0,91,96,Festive
2023-05-11, Handkerchief, Cotton, Sai Ram Fabrics,20.0,25.0,113,54,Casual
2023-03-10, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,138,198,Formal
2023-12-11, Dupatta, Silk, Emco Textiles,280.0,320.0,20,176,Festive
2023-11-16, Blouse, Cotton, Sathya Textiles,70.0,90.0,194,34,Formal
2023-06-26, Pajamas, Cotton, Vimal Textiles,150.0,180.0,187,140,Formal
2024-08-06, Skirt, Chiffon, Ravi Textiles,300.0,340.0,160,67,Festive
2024-06-12, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,168,72,Formal
2023-06-09, Bedsheet, Cotton, RR Textiles,180.0,210.0,51,43,Festive
2024-08-04, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,108,184,Formal
2024-09-16, Lungi, Cotton, Shree Ram Textiles,100.0,130.0,16,166,Festive
2024-06-16, Kurta, Linen, Swastik Textiles,320.0,360.0,153,131,Casual
2023-05-15, Saree, Chiffon, Ravi Textiles,400.0,450.0,99,191,Festive
2023-04-21, Blouse, Silk, Shree Fabrics,130.0,150.0,121,34,Festive
2023-10-10, Dupatta, Cotton, Balaji Textiles,280.0,320.0,69,62,Festive
2024-06-03, Pillow cover, Cotton, RSN Textiles,30.0,40.0,122,38,Festive
2024-12-19, Bedsheet, Cotton, RR Textiles,200.0,230.0,11,124,Formal
2023-07-13, Skirt, Linen, Royal Fabrics,250.0,280.0,138,169,Casual
2023-02-16, Pajamas, Cotton, Vimal Textiles,150.0,180.0,57,56,Festive
2023-12-08, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,149,197,Formal
2023-08-30, Lungi, Cotton, Shree Ram Textiles,100.0,130.0,46,188,Casual
2024-06-05, Kurta, Linen, Swastik Textiles,320.0,360.0,169,46,Casual
2024-01-05, Saree, Chiffon, Ravi Textiles,400.0,450.0,18,154,Casual
2023-05-11, Blouse, Silk, Shree Fabrics,130.0,150.0,108,51,Casual
2023-09-27, Dupatta, Cotton, Balaji Textiles,280.0,320.0,156,177,Festive
2023-03-02, Pillow cover, Cotton, RSN Textiles,30.0,40.0,57,71,Festive
2023-06-13, Bedsheet, Cotton, RR Textiles,200.0,230.0,140,125,Formal
2024-06-08, Skirt, Linen, Royal Fabrics,250.0,280.0,157,135,Formal
2023-09-29, Pajamas, Cotton, Vimal Textiles,150.0,180.0,161,60,Formal
2024-12-20, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,63,58,Casual
2023-05-13, Kurta, Rayon, Vasanth Textiles,340.0,380.0,129,157,Casual
2023-09-01, Handkerchief, Cotton, Sai Ram Fabrics,320.0,327.0,170,44,Festive
2024-03-09, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,161,192,Casual
2023-02-07, Dupatta, Silk, Emco Textiles,280.0,320.0,125,154,Casual
2024-07-21, Blouse, Cotton, Sathya Textiles,70.0,90.0,84,188,Casual
2023-11-15, Pajamas, Cotton, Vimal Textiles,150.0,180.0,122,56,Formal
2024-05-24, Skirt, Chiffon, Ravi Textiles,300.0,340.0,173,65,Formal
2024-01-11, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,175,87,Festive
2024-07-13, Bedsheet, Cotton, RR Textiles,180.0,210.0,113,142,Casual
2024-09-08, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,93,90,Casual
2024-04-18, Kurta, Rayon, Vasanth Textiles,340.0,380.0,121,181,Festive
2023-02-28, Handkerchief, Cotton, Sai Ram Fabrics,20.0,25.0,108,42,Casual
2024-08-11, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,162,124,Casual
2024-05-13, Dupatta, Silk, Emco Textiles,280.0,320.0,102,87,Formal
2023-08-06, Blouse, Cotton, Sathya Textiles,70.0,90.0,155,186,Festive
2024-07-20, Pajamas, Cotton, Vimal Textiles,150.0,180.0,137,86,Festive
2024-07-20, Skirt, Chiffon, Ravi Textiles,300.0,340.0,119,83,Festive
2023-05-09, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,91,146,Festive
2024-01-18, Bedsheet, Cotton, RR Textiles,180.0,210.0,63,166,Formal
2024-01-23, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,172,173,Formal
2023-03-26, Kurta, Rayon, Vasanth Textiles,340.0,380.0,198,46,Casual
2024-05-24, Handkerchief, Cotton, Sai Ram Fabrics,20.0,25.0,178,183,Casual
2024-12-26, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,170,113,Casual
2024-09-18, Dupatta, Silk, Emco Textiles,280.0,320.0,77,188,Casual
2024-03-12, Blouse, Cotton, Sathya Textiles,70.0,90.0,42,196,Formal
2023-10-20, Pajamas, Cotton, Vimal Textiles,150.0,180.0,151,147,Festive
2023-02-18, Skirt, Chiffon, Ravi Textiles,300.0,340.0,30,37,Formal
2023-03-08, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,57,185,Casual
2023-05-09, Bedsheet, Cotton, RR Textiles,180.0,210.0,157,61,Formal
2023-01-29, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,137,192,Festive
2023-12-09, Kurta, Rayon, Vasanth Textiles,340.0,380.0,145,96,Festive
2024-06-28, Handkerchief, Cotton, Sai Ram Fabrics,20.0,25.0,144,59,Formal
2023-04-29, Saree, Silk, Sri Lakshmi Silks,650.0,700.0,154,121,Formal
2024-11-22, Dupatta, Silk, Emco Textiles,280.0,320.0,137,125,Formal
2024-10-24, Blouse, Cotton, Sathya Textiles,70.0,90.0,42,113,Casual
2023-05-13, Pajamas, Cotton, Vimal Textiles,150.0,180.0,185,88,Formal
2023-11-23, Skirt, Chiffon, Ravi Textiles,300.0,340.0,196,51,Formal
2023-07-04, Shirt, Linen, Sri Velavan Textiles,250.0,280.0,124,71,Formal
2024-05-20, Bedsheet, Cotton, RR Textiles,180.0,210.0,128,90,Festive
2024-10-07, T-shirt, Cotton, Sri Velavan Textiles,220.0,250.0,31,156,Festive
